,Date,Income,Month,Month_Year
0,1959-01-01,12440.0,1,1959-01
1,1959-02-01,12462.0,2,1959-02
2,1959-03-01,12517.0,3,1959-03
3,1959-04-01,12581.0,4,1959-04
4,1959-05-01,12634.0,5,1959-05
5,1959-06-01,12660.0,6,1959-06
6,1959-07-01,12622.0,7,1959-07
7,1959-08-01,12528.0,8,1959-08
8,1959-09-01,12514.0,9,1959-09
9,1959-10-01,12504.0,10,1959-10
10,1959-11-01,12577.0,11,1959-11
11,1959-12-01,12683.0,12,1959-12
12,1960-01-01,12680.0,1,1960-01
13,1960-02-01,12654.0,2,1960-02
14,1960-03-01,12642.0,3,1960-03
15,1960-04-01,12665.0,4,1960-04
16,1960-05-01,12669.0,5,1960-05
17,1960-06-01,12658.0,6,1960-06
18,1960-07-01,12658.0,7,1960-07
19,1960-08-01,12609.0,8,1960-08
20,1960-09-01,12609.0,9,1960-09
21,1960-10-01,12639.0,10,1960-10
22,1960-11-01,12571.0,11,1960-11
23,1960-12-01,12501.0,12,1960-12
24,1961-01-01,12609.0,1,1961-01
25,1961-02-01,12646.0,2,1961-02
26,1961-03-01,12683.0,3,1961-03
27,1961-04-01,12693.0,4,1961-04
28,1961-05-01,12780.0,5,1961-05
29,1961-06-01,12895.0,6,1961-06
30,1961-07-01,12921.0,7,1961-07
31,1961-08-01,12902.0,8,1961-08
32,1961-09-01,12894.0,9,1961-09
33,1961-10-01,13011.0,10,1961-10
34,1961-11-01,13114.0,11,1961-11
35,1961-12-01,13177.0,12,1961-12
36,1962-01-01,13129.0,1,1962-01
37,1962-02-01,13174.0,2,1962-02
38,1962-03-01,13246.0,3,1962-03
39,1962-04-01,13289.0,4,1962-04
40,1962-05-01,13281.0,5,1962-05
41,1962-06-01,13267.0,6,1962-06
42,1962-07-01,13308.0,7,1962-07
43,1962-08-01,13302.0,8,1962-08
44,1962-09-01,13287.0,9,1962-09
45,1962-10-01,13334.0,10,1962-10
46,1962-11-01,13354.0,11,1962-11
47,1962-12-01,13400.0,12,1962-12
48,1963-01-01,13482.0,1,1963-01
49,1963-02-01,13389.0,2,1963-02
50,1963-03-01,13433.0,3,1963-03
51,1963-04-01,13473.0,4,1963-04
52,1963-05-01,13509.0,5,1963-05
53,1963-06-01,13561.0,6,1963-06
54,1963-07-01,13559.0,7,1963-07
55,1963-08-01,13594.0,8,1963-08
56,1963-09-01,13677.0,9,1963-09
57,1963-10-01,13738.0,10,1963-10
58,1963-11-01,13751.0,11,1963-11
59,1963-12-01,13847.0,12,1963-12
60,1964-01-01,13879.0,1,1964-01
61,1964-02-01,13909.0,2,1964-02
62,1964-03-01,14225.0,3,1964-03
63,1964-04-01,14287.0,4,1964-04
64,1964-05-01,14346.0,5,1964-05
65,1964-06-01,14377.0,6,1964-06
66,1964-07-01,14428.0,7,1964-07
67,1964-08-01,14474.0,8,1964-08
68,1964-09-01,14512.0,9,1964-09
69,1964-10-01,14490.0,10,1964-10
70,1964-11-01,14568.0,11,1964-11
71,1964-12-01,14694.0,12,1964-12
72,1965-01-01,14709.0,1,1965-01
73,1965-02-01,14700.0,2,1965-02
74,1965-03-01,14737.0,3,1965-03
75,1965-04-01,14740.0,4,1965-04
76,1965-05-01,14889.0,5,1965-05
77,1965-06-01,14894.0,6,1965-06
78,1965-07-01,15032.0,7,1965-07
79,1965-08-01,15089.0,8,1965-08
80,1965-09-01,15465.0,9,1965-09
81,1965-10-01,15372.0,10,1965-10
82,1965-11-01,15466.0,11,1965-11
83,1965-12-01,15516.0,12,1965-12
84,1966-01-01,15514.0,1,1966-01
85,1966-02-01,15567.0,2,1966-02
86,1966-03-01,15616.0,3,1966-03
87,1966-04-01,15543.0,4,1966-04
88,1966-05-01,15553.0,5,1966-05
89,1966-06-01,15603.0,6,1966-06
90,1966-07-01,15641.0,7,1966-07
91,1966-08-01,15705.0,8,1966-08
92,1966-09-01,15780.0,9,1966-09
93,1966-10-01,15814.0,10,1966-10
94,1966-11-01,15872.0,11,1966-11
95,1966-12-01,15845.0,12,1966-12
96,1967-01-01,15995.0,1,1967-01
97,1967-02-01,16014.0,2,1967-02
98,1967-03-01,16121.0,3,1967-03
99,1967-04-01,16103.0,4,1967-04
100,1967-05-01,16122.0,5,1967-05
101,1967-06-01,16167.0,6,1967-06
102,1967-07-01,16217.0,7,1967-07
103,1967-08-01,16259.0,8,1967-08
104,1967-09-01,16240.0,9,1967-09
105,1967-10-01,16250.0,10,1967-10
106,1967-11-01,16334.0,11,1967-11
107,1967-12-01,16351.0,12,1967-12
108,1968-01-01,16428.0,1,1968-01
109,1968-02-01,16536.0,2,1968-02
110,1968-03-01,16680.0,3,1968-03
111,1968-04-01,16725.0,4,1968-04
112,1968-05-01,16780.0,5,1968-05
113,1968-06-01,16841.0,6,1968-06
114,1968-07-01,16791.0,7,1968-07
115,1968-08-01,16797.0,8,1968-08
116,1968-09-01,16782.0,9,1968-09
117,1968-10-01,16827.0,10,1968-10
118,1968-11-01,16876.0,11,1968-11
119,1968-12-01,16922.0,12,1968-12
120,1969-01-01,16880.0,1,1969-01
121,1969-02-01,16873.0,2,1969-02
122,1969-03-01,16892.0,3,1969-03
123,1969-04-01,16854.0,4,1969-04
124,1969-05-01,17031.0,5,1969-05
125,1969-06-01,17137.0,6,1969-06
126,1969-07-01,17241.0,7,1969-07
127,1969-08-01,17328.0,8,1969-08
128,1969-09-01,17349.0,9,1969-09
129,1969-10-01,17372.0,10,1969-10
130,1969-11-01,17386.0,11,1969-11
131,1969-12-01,17402.0,12,1969-12
132,1970-01-01,17481.0,1,1970-01
133,1970-02-01,17523.0,2,1970-02
134,1970-03-01,17576.0,3,1970-03
135,1970-04-01,17743.0,4,1970-04
136,1970-05-01,17652.0,5,1970-05
137,1970-06-01,17669.0,6,1970-06
138,1970-07-01,17899.0,7,1970-07
139,1970-08-01,17935.0,8,1970-08
140,1970-09-01,17894.0,9,1970-09
141,1970-10-01,17815.0,10,1970-10
142,1970-11-01,17769.0,11,1970-11
143,1970-12-01,17830.0,12,1970-12
144,1971-01-01,18085.0,1,1971-01
145,1971-02-01,18093.0,2,1971-02
146,1971-03-01,18135.0,3,1971-03
147,1971-04-01,18155.0,4,1971-04
148,1971-05-01,18211.0,5,1971-05
149,1971-06-01,18578.0,6,1971-06
150,1971-07-01,18295.0,7,1971-07
151,1971-08-01,18340.0,8,1971-08
152,1971-09-01,18428.0,9,1971-09
153,1971-10-01,18468.0,10,1971-10
154,1971-11-01,18494.0,11,1971-11
155,1971-12-01,18572.0,12,1971-12
156,1972-01-01,18464.0,1,1972-01
157,1972-02-01,18564.0,2,1972-02
158,1972-03-01,18627.0,3,1972-03
159,1972-04-01,18604.0,4,1972-04
160,1972-05-01,18726.0,5,1972-05
161,1972-06-01,18769.0,6,1972-06
162,1972-07-01,18890.0,7,1972-07
163,1972-08-01,19048.0,8,1972-08
164,1972-09-01,19104.0,9,1972-09
165,1972-10-01,19566.0,10,1972-10
166,1972-11-01,19767.0,11,1972-11
167,1972-12-01,19839.0,12,1972-12
168,1973-01-01,19722.0,1,1973-01
169,1973-02-01,19856.0,2,1973-02
170,1973-03-01,19914.0,3,1973-03
171,1973-04-01,19925.0,4,1973-04
172,1973-05-01,19946.0,5,1973-05
173,1973-06-01,19990.0,6,1973-06
174,1973-07-01,20021.0,7,1973-07
175,1973-08-01,19939.0,8,1973-08
176,1973-09-01,20022.0,9,1973-09
177,1973-10-01,20182.0,10,1973-10
178,1973-11-01,20199.0,11,1973-11
179,1973-12-01,20110.0,12,1973-12
180,1974-01-01,19950.0,1,1974-01
181,1974-02-01,19786.0,2,1974-02
182,1974-03-01,19632.0,3,1974-03
183,1974-04-01,19604.0,4,1974-04
184,1974-05-01,19569.0,5,1974-05
185,1974-06-01,19514.0,6,1974-06
186,1974-07-01,19573.0,7,1974-07
187,1974-08-01,19528.0,8,1974-08
188,1974-09-01,19489.0,9,1974-09
189,1974-10-01,19536.0,10,1974-10
190,1974-11-01,19417.0,11,1974-11
191,1974-12-01,19407.0,12,1974-12
192,1975-01-01,19384.0,1,1975-01
193,1975-02-01,19384.0,2,1975-02
194,1975-03-01,19389.0,3,1975-03
195,1975-04-01,19728.0,4,1975-04
196,1975-05-01,20847.0,5,1975-05
197,1975-06-01,20125.0,6,1975-06
198,1975-07-01,19795.0,7,1975-07
199,1975-08-01,19908.0,8,1975-08
200,1975-09-01,19938.0,9,1975-09
201,1975-10-01,20004.0,10,1975-10
202,1975-11-01,19973.0,11,1975-11
203,1975-12-01,19978.0,12,1975-12
204,1976-01-01,20092.0,1,1976-01
205,1976-02-01,20203.0,2,1976-02
206,1976-03-01,20251.0,3,1976-03
207,1976-04-01,20263.0,4,1976-04
208,1976-05-01,20248.0,5,1976-05
209,1976-06-01,20251.0,6,1976-06
210,1976-07-01,20349.0,7,1976-07
211,1976-08-01,20372.0,8,1976-08
212,1976-09-01,20357.0,9,1976-09
213,1976-10-01,20303.0,10,1976-10
214,1976-11-01,20469.0,11,1976-11
215,1976-12-01,20531.0,12,1976-12
216,1977-01-01,20474.0,1,1977-01
217,1977-02-01,20278.0,2,1977-02
218,1977-03-01,20546.0,3,1977-03
219,1977-04-01,20561.0,4,1977-04
220,1977-05-01,20548.0,5,1977-05
221,1977-06-01,20616.0,6,1977-06
222,1977-07-01,20729.0,7,1977-07
223,1977-08-01,20792.0,8,1977-08
224,1977-09-01,20885.0,9,1977-09
225,1977-10-01,21017.0,10,1977-10
226,1977-11-01,21166.0,11,1977-11
227,1977-12-01,21237.0,12,1977-12
228,1978-01-01,21129.0,1,1978-01
229,1978-02-01,21240.0,2,1978-02
230,1978-03-01,21399.0,3,1978-03
231,1978-04-01,21455.0,4,1978-04
232,1978-05-01,21422.0,5,1978-05
233,1978-06-01,21404.0,6,1978-06
234,1978-07-01,21490.0,7,1978-07
235,1978-08-01,21558.0,8,1978-08
236,1978-09-01,21542.0,9,1978-09
237,1978-10-01,21579.0,10,1978-10
238,1978-11-01,21579.0,11,1978-11
239,1978-12-01,21668.0,12,1978-12
240,1979-01-01,21754.0,1,1979-01
241,1979-02-01,21825.0,2,1979-02
242,1979-03-01,21865.0,3,1979-03
243,1979-04-01,21668.0,4,1979-04
244,1979-05-01,21548.0,5,1979-05
245,1979-06-01,21471.0,6,1979-06
246,1979-07-01,21604.0,7,1979-07
247,1979-08-01,21611.0,8,1979-08
248,1979-09-01,21568.0,9,1979-09
249,1979-10-01,21533.0,10,1979-10
250,1979-11-01,21569.0,11,1979-11
251,1979-12-01,21592.0,12,1979-12
252,1980-01-01,21720.0,1,1980-01
253,1980-02-01,21585.0,2,1980-02
254,1980-03-01,21430.0,3,1980-03
255,1980-04-01,21388.0,4,1980-04
256,1980-05-01,21288.0,5,1980-05
257,1980-06-01,21312.0,6,1980-06
258,1980-07-01,21479.0,7,1980-07
259,1980-08-01,21481.0,8,1980-08
260,1980-09-01,21552.0,9,1980-09
261,1980-10-01,21702.0,10,1980-10
262,1980-11-01,21718.0,11,1980-11
263,1980-12-01,21804.0,12,1980-12
264,1981-01-01,21706.0,1,1981-01
265,1981-02-01,21625.0,2,1981-02
266,1981-03-01,21670.0,3,1981-03
267,1981-04-01,21593.0,4,1981-04
268,1981-05-01,21618.0,5,1981-05
269,1981-06-01,21718.0,6,1981-06
270,1981-07-01,22040.0,7,1981-07
271,1981-08-01,22084.0,8,1981-08
272,1981-09-01,22025.0,9,1981-09
273,1981-10-01,22034.0,10,1981-10
274,1981-11-01,22030.0,11,1981-11
275,1981-12-01,21986.0,12,1981-12
276,1982-01-01,21999.0,1,1982-01
277,1982-02-01,22044.0,2,1982-02
278,1982-03-01,22025.0,3,1982-03
279,1982-04-01,22227.0,4,1982-04
280,1982-05-01,22117.0,5,1982-05
281,1982-06-01,21978.0,6,1982-06
282,1982-07-01,22157.0,7,1982-07
283,1982-08-01,22171.0,8,1982-08
284,1982-09-01,22141.0,9,1982-09
285,1982-10-01,22096.0,10,1982-10
286,1982-11-01,22165.0,11,1982-11
287,1982-12-01,22252.0,12,1982-12
288,1983-01-01,22310.0,1,1983-01
289,1983-02-01,22303.0,2,1983-02
290,1983-03-01,22393.0,3,1983-03
291,1983-04-01,22425.0,4,1983-04
292,1983-05-01,22453.0,5,1983-05
293,1983-06-01,22452.0,6,1983-06
294,1983-07-01,22717.0,7,1983-07
295,1983-08-01,22655.0,8,1983-08
296,1983-09-01,22801.0,9,1983-09
297,1983-10-01,22988.0,10,1983-10
298,1983-11-01,23172.0,11,1983-11
299,1983-12-01,23368.0,12,1983-12
300,1984-01-01,23462.0,1,1984-01
301,1984-02-01,23588.0,2,1984-02
302,1984-03-01,23729.0,3,1984-03
303,1984-04-01,23876.0,4,1984-04
304,1984-05-01,23897.0,5,1984-05
305,1984-06-01,24038.0,6,1984-06
306,1984-07-01,24049.0,7,1984-07
307,1984-08-01,24192.0,8,1984-08
308,1984-09-01,24342.0,9,1984-09
309,1984-10-01,24230.0,10,1984-10
310,1984-11-01,24317.0,11,1984-11
311,1984-12-01,24450.0,12,1984-12
312,1985-01-01,24427.0,1,1985-01
313,1985-02-01,24187.0,2,1985-02
314,1985-03-01,24060.0,3,1985-03
315,1985-04-01,24441.0,4,1985-04
316,1985-05-01,25018.0,5,1985-05
317,1985-06-01,24472.0,6,1985-06
318,1985-07-01,24503.0,7,1985-07
319,1985-08-01,24463.0,8,1985-08
320,1985-09-01,24545.0,9,1985-09
321,1985-10-01,24646.0,10,1985-10
322,1985-11-01,24664.0,11,1985-11
323,1985-12-01,24793.0,12,1985-12
324,1986-01-01,24821.0,1,1986-01
325,1986-02-01,24934.0,2,1986-02
326,1986-03-01,25173.0,3,1986-03
327,1986-04-01,25251.0,4,1986-04
328,1986-05-01,25257.0,5,1986-05
329,1986-06-01,25219.0,6,1986-06
330,1986-07-01,25330.0,7,1986-07
331,1986-08-01,25346.0,8,1986-08
332,1986-09-01,25347.0,9,1986-09
333,1986-10-01,25311.0,10,1986-10
334,1986-11-01,25309.0,11,1986-11
335,1986-12-01,25336.0,12,1986-12
336,1987-01-01,25418.0,1,1987-01
337,1987-02-01,25537.0,2,1987-02
338,1987-03-01,25552.0,3,1987-03
339,1987-04-01,24575.0,4,1987-04
340,1987-05-01,25553.0,5,1987-05
341,1987-06-01,25499.0,6,1987-06
342,1987-07-01,25549.0,7,1987-07
343,1987-08-01,25634.0,8,1987-08
344,1987-09-01,25612.0,9,1987-09
345,1987-10-01,25754.0,10,1987-10
346,1987-11-01,25835.0,11,1987-11
347,1987-12-01,26048.0,12,1987-12
348,1988-01-01,26086.0,1,1988-01
349,1988-02-01,26222.0,2,1988-02
350,1988-03-01,26312.0,3,1988-03
351,1988-04-01,26385.0,4,1988-04
352,1988-05-01,26402.0,5,1988-05
353,1988-06-01,26478.0,6,1988-06
354,1988-07-01,26565.0,7,1988-07
355,1988-08-01,26615.0,8,1988-08
356,1988-09-01,26642.0,9,1988-09
357,1988-10-01,26761.0,10,1988-10
358,1988-11-01,26750.0,11,1988-11
359,1988-12-01,26864.0,12,1988-12
360,1989-01-01,26961.0,1,1989-01
361,1989-02-01,27024.0,2,1989-02
362,1989-03-01,27141.0,3,1989-03
363,1989-04-01,26981.0,4,1989-04
364,1989-05-01,26836.0,5,1989-05
365,1989-06-01,26889.0,6,1989-06
366,1989-07-01,26958.0,7,1989-07
367,1989-08-01,27003.0,8,1989-08
368,1989-09-01,27057.0,9,1989-09
369,1989-10-01,27165.0,10,1989-10
370,1989-11-01,27169.0,11,1989-11
